codigo,nombres,direccions,cdad,estado,cod_post,TELEFONO,,email 
CÓDIGO,NOMBRE,DIRECCION,POBLACION,PROVINCIA,COD POSTAL,TELEFONO,VENDEDOR,correo electronico
15004654,CPR Plurilingüe Santo Domingo,Praza de Santo Domingo 1,Coruña (A),Coruña (A),15001,981205850,5120,
15004782,CPR Plurilingüe La Grande Obra de Atocha,Rúa BALTASAR PARDAL VIDAL 1,Coruña (A),Coruña (A),15001,981222542,5120,
15005488,CPR López y Vicuña,Rúa Santiago 1 bis,Coruña (A),Coruña (A),15001,981226244,5120,
15027010,CDAN Profesional da Coruña,"Rúa Franxa, 14 - Pazo de Martelo",Coruña (A),Coruña (A),15001,981080181,5120,
15004991,CEIP Montel Touzet,Rúa Ferrerias 1,Coruña (A),Coruña (A),15001,881960701,5120,
15005506,EASD Pablo Picasso,Os Pelamios 2,Coruña (A),Coruña (A),15001,981225396,5120,
15004061,CPR Cervantes,Rúa Ramon do Cueto 23,Coruña (A),Coruña (A),15002,981204648,5120,
15005026,CEIP Sanjurjo de Carricarte,Praza San Xose Monte Alto s/n,Coruña (A),Coruña (A),15002,981202120,5120,
15021536,CEIP Víctor López Seoane,"Vía Artabra, s/n (Monte Alto)",Coruña (A),Coruña (A),15002,981903823,5120,
15005257,IES Ramón Menéndez Pidal,Rúa Instituto Zalaeta,Coruña (A),Coruña (A),15002,981203000,5120,
15027988,ESMU Municipal da Coruña,Rúa La Torre 67,Coruña (A),Coruña (A),15002,981226752,5120,
15021721,CEIP de Zalaeta,"Rúa Curros Enriquez, s/n (Zalaeta)",Coruña (A),Coruña (A),15002,981211747,5120,
15026716,IES Plurilingüe Adormideras,Rúa Juan Sebastián Elcano 28,Coruña (A),Coruña (A),15002,881880086,5120,
15022607,CIFP Ánxel Casal - Monte Alto,Paseo María­timo 47,Coruña (A),Coruña (A),15002,981210112,5120,
15004976,CEIP Curros Enríquez,Rúa Campo de Marte s/n,Coruña (A),Coruña (A),15002,981204735,5120,
15004538,CPR Plurilingüe Salesiano San Juan Bosco,Rúa Hospital 14,Coruña (A),Coruña (A),15003,981203550,5120,
15005221,IES Plurilingüe Eusebio da Guarda,Praza de Pontevedra 20,Coruña (A),Coruña (A),15003,981223479,5120,
15004988,CEIP Eusebio da Guarda,Praza de Pontevedra 21,Coruña (A),Coruña (A),15003,981229264,5120,
15004435,CPR Plurilingüe Padres Franciscanos,Avenida Calvo Sotelo 41,Coruña (A),Coruña (A),15004,981262606,5120,
15004083,CPR Plurilingüe Compañía de María­a,Rúa Calvo Sotelo 2,Coruña (A),Coruña (A),15004,981250350,5120,
15004356,CPR Nebrija Torre de Hércules,Praza Ángel Ron Fraga (Médico) 9,Coruña (A),Coruña (A),15004,981259006,5120,
15027897,CIFP Paseo das Pontes,Rúa San Pedro de Mezonzo 4,Coruña (A),Coruña (A),15004,981160196,5120,
15032947,EMUSPR Compañía de María­a,Rúa Calvo Sotelo 2,Coruña (A),Coruña (A),15004,981250350,5120,
15027496,EDANPR Armonía,"Rúa Teresa Herrera, 9 - 1Âº",Coruña (A),Coruña (A),15004,981210304,5120,
15020568,CEIP Plurilingüe Labaca,"Rúa Juan Florez, 114-116",Coruña (A),Coruña (A),15005,881960284,5120,
15032731,CADF FEDERACIÓN GALEGA DE FúTBOL,Rúa MENÉNDEZ Y PELAYO 18 2,Coruña (A),Coruña (A),15005,981120619,5120,
15032613,EDANPR Carmen,Rúa Santa Teresa 2-4,Coruña (A),Coruña (A),15005,-,5120,
15032005,CPR Castelao,Rúa Sinforiano Lopez 43,Coruña (A),Coruña (A),15005,981243814,5120,
15004642,CPR Plurilingüe Santa María­a del Mar,Avenida do Pasaxe 69,Coruña (A),Coruña (A),15006,981283000,5120,
15005397,IES Fernando Wirtz Suárez,Rúa Cabaleiros 1,Coruña (A),Coruña (A),15006,981230643,5120,
15005385,CEE María­a Mariño,Rúa As Xubias 15,Coruña (A),Coruña (A),15006,981174273,5120,
15004964,CEIP Plurilingüe Concepción Arenal,Rúa Marques de Amboage 2,Coruña (A),Coruña (A),15006,881880064,5120,
15032893,CPR Chíos Formación,Avenida  do Exército 2,Coruña (A),Coruña (A),15006,881872497,5120,
15021548,CEIP Sal Lence,Avenida de Oza 262,Coruña (A),Coruña (A),15006,981296503,5120,
15004231,CPR Plurilingüe Karbo,"Rúa Ramon Cabanillas, 2 - 1Âº",Coruña (A),Coruña (A),15007,981236179,5120,
15005270,CPR Afundación A Coruña,Rúa Ribadavia 4,Coruña (A),Coruña (A),15007,981236552,5120,
15005269,IES Urbano Lugrís,Avenida de Arteixo,Coruña (A),Coruña (A),15007,981238551,5120,
15005361,CEIP Rosalía de Castro,Rúa Rio Avia s/n,Coruña (A),Coruña (A),15007,981241604,5120,
15024902,CEIP Wenceslao Fernández Flórez,Avenida Ferrocarril 17-19,Coruña (A),Coruña (A),15007,981241022,5120,
15025037,CEIP Sagrada Familia,Ronda de Outeiro 211,Coruña (A),Coruña (A),15007,981142252,5120,
15023375,CEIP José Cornide Saavedra,Avenida da Sardiñeira s/n,Coruña (A),Coruña (A),15007,981248796,5120,
15022000,CPR Plurilingüe Montegrande,Avenida NUEVA YORK 178,Coruña (A),Coruña (A),15008,981288177,5120,
15004198,CPR Plurilingüe Hijas de Jesús,Avenida NUEVA YORK 5,Coruña (A),Coruña (A),15008,981285877,5120,
15021986,CPR Cruz Roja Española,Rúa Ferrocarril s/n,Coruña (A),Coruña (A),15008,981169163,5120,
15027757,CEEPR Aspanaes,Rúa O CATECISMO 7,Coruña (A),Coruña (A),15008,981293552,5120,
15004526,CPR Plurilingüe Sagrado Corazón,Rúa MÂª Ana Mogas Fontcuberta 9,Coruña (A),Coruña (A),15008,981293250,5120,
15005521,CEIP Ramón de la Sagra,Ronda de Camilo Jose Cela 4,Coruña (A),Coruña (A),15008,981280208,5120,
15025244,CPR Radio ECCA,Rúa Bugalla Marquesi,Coruña (A),Coruña (A),15008,981293658,5120,
15027770,IES A Sardiñeira,Avenida da Sardiñeira 41,Coruña (A),Coruña (A),15008,981247316,5120,
15026571,CPR Cofisad,Rúa Jose Luis Bugallal Marchesi 7,Coruña (A),Coruña (A),15008,981151936,5120,
15005336,CEE Nosa Señorado Rosario,Rúa Ronda Camilo Jose Cela 2,Coruña (A),Coruña (A),15008,981283496,5120,
15005518,CEIP María­a Pita,"Ronda de Camilo Jose Cela, 2  A (Elviña)",Coruña (A),Coruña (A),15008,981292235,5120,
15027800,IES Imaxe e Son,Rúa Someso 6,Coruña (A),Coruña (A),15008,981173181,5120,
15024513,CIFP Someso,Rúa Someso 6,Coruña (A),Coruña (A),15008,881880001,5120,
15019323,CEIP Alborada,Rúa San José de Calasanz 5 A,Coruña (A),Coruña (A),15008,981243099,5120,
15032984,CPR Coruña British School,Rúa Roma 1,Coruña (A),Coruña (A),15008,,5120,
15021792,CEIP Salgado Torres,"Poligono de Elviña, 2Âª Fase, s/n",Coruña (A),Coruña (A),15008,981243316,5120,
15005300,IES Rafael Puga Ramón,Avenida Ferrocarril s/n,Coruña (A),Coruña (A),15008,981231545,5120,
15005002,IES Ramón Otero Pedrayo,Avenida Monelos 10 A,Coruña (A),Coruña (A),15008,981286854,5120,
