Código,Descripción,Marca,Modelo,costo,IVA,Tarifa 1,,
00001,Descubre y Juega ¿ Qué hora es? Fichas interactiva,,,0,4%,6.57,,
001,FASHION ESTUDIO DOLLS,,,0,4%,9.92,,
003=,PACK 4 LIBROS PAPÁ NOEL+ RENO + OSITO + MUÑECO BON,,,0,4%,5.72,,
0040,PACK CUANDO ME ENFADO + SI VIENEN UN DRAGÓN,,,0,4%,7.64,,
9781409501930,ESTE NO ES MI MONO,,,0,4%,2.89,,
9781409515913,ARTE DE RECICLAR,,,0,4%,3.37,,
9781409516019,DESCUBRE Y EXPLORA ASTRONOMIA,,,0,4%,3.37,,
9781409592877,50 MANUALIDADES CIENTIFICAS,,,0,4%,8.61,,
9781409593003,365 MANUALIDADES,,,0,4%,14.38,,
9781412738330,LEEME UN CUENTO CON WINNIE THE POOH,,,0,4%,7.64,,
9781412761253,CUENTOS CON WINNIE THE POOH DE 3 MINUTOS,,,0,4%,7.64,,
9781445411491,DE LA HUERTA A LA MESA,,,0,4%,8.22,,
9781445427645,DELICIAS AL HORNO,,,0,4%,9.57,,
9781445427652,CHOCOLATE,,,0,4%,9.57,,
9781450844154,MI PRIMER BLOQUE DE LIBROS DE PRINCESAS,,,0,4%,8.61,,
9781474915274,100 COSAS QUE SABER SOBRE CIENCIA,,,0,4%,12.02,,
9781909428102,EL CACHARRO DE MAMA,,,0,4%,3.26,,
9781909428126,VAYA MARAÑA,,,0,4%,3.80,,
9781909428140,MI MONTON DE MONSTRUOS,,,0,4%,3.80,,
9781909428188,UNA PESADILLA DE TORTITAS,,,0,4%,3.80,,
9781909428317,EL GRAN CHOFF,,,0,4%,4.76,,
9781909428393,MUU DIJO MORRIS,,,0,4%,4.76,,
9782215047889,13 HISTORIAS CHIFLADAS DE ANIMALES SENSACIONALES,,,0,4%,4.76,,
9782215088172,STICK&PLAY ANIMALES-DINOSAURIOS,,,0,4%,1.92,,
9782215088264,STICK&PLAY ANIMALES-SALVAJES,,,0,4%,1.92,,
9782215089186,MI PRIMERA CARTERA DEL MAR,,,0,4%,3.37,,
9782215096719,PORQUE Y COMO EL CUERPO,,,0,4%,4.76,,
9782215096733,PORQUE Y COMO EL ESPACIO,,,0,4%,4.76,,
9782740427613,YO JUEGO A-EL SUPER,,,0,4%,5.72,,
9782740427620,YO JUEGO A-EL RESTAURANTE,,,0,4%,5.72,,
9782740427637,YO JUEGO A- EL DOCTOR,,,0,4%,5.72,,
9782740427644,YO JUEGO A LA PROFESORA,,,0,4%,5.72,,
9783833161223,MANUAL DEL GOURMET DEL QUESO,,,0,4%,6.68,,
9783848006540,EL LIBRO DE LOS 10 BOTONES,,,0,4%,7.64,,
978424110062,MALETIN DE CUENTOS PIN Y TITO,,,0,4%,6.73,,
9788415426752,MIS SORPRENDENTES SENTIDOS,,,0,4%,9.57,,
9788415430018,UN HUEVO CON SORPRESA,,,0,4%,5.72,,
9788415430155,COMO FUNCIONAN LAS MAQUINAS,,,0,4%,5.72,,
9788415656449,LA BRUJITA MIMI NO TIENE MIEDO...O ¿SI?,,,0,4%,9.52,,
9788415656456,LA BRUJITA MIMI APRENDE HECHIZO DORMIR,,,0,4%,9.52,,
9788420551814,"MIRA, MIRA: AGUA",,,0,4%,2.84,,
9788420551821,"MIRA, MIRA: ARBOL",,,0,4%,2.84,,
9788420551838,"MIRA, MIRA: PLANTA",,,0,4%,2.84,,
9788420551845,"MIRA, MIRA: AVE",,,0,4%,2.84,,
9788420552262,LULU VOLTERETA,,,0,4%,4.76,,
9788420552279,EL ARCA DE LULU,,,0,4%,3.85,,
9788420552286,LULU Y EL LOBO AZUL ,,,0,4%,4.76,,
9788420552293,LULU Y EL ABETO HUERFANO,,,0,4%,4.76,,
9788420552507,"MIRA, MIRA LUZ",,,0,4%,4.76,,
9788420552514,"MIRA, MIRA INSECTO",,,0,4%,2.84,,
9788420552521,EL LIBRO DE LAS MIL MEJORES FRASES,,,0,4%,9.00,,
9788420553429,EL HADA LOLITA Y EL ARBOL ESCUELA,,,0,4%,4.76,,
9788420553610,1001 MANERAS DE PERMANECER JOVEN,,,0,4%,5.72,,
9788420553658,UN DIA DE INVIERNO,,,0,4%,6.73,,
9788420553665,LA ESTRELLA MAS BRILLANTE,,,0,4%,6.73,,
9788420554037,GRAN ATLAS DE LOS OCEANOS,,,0,4%,7.64,,
9788420554112,"MIRA, MIRA TIEMPO",,,0,4%,4.95,,
9788420554129,"MIRA, MIRA ESPACIO",,,0,4%,2.84,,
9788420554525,"MIRA, MIRA HORA",,,0,4%,4.76,,
9788420554532,MIRA MIRA COLOR,,,0,4%,2.84,,
9788420554587,LULU PRESIDENTA,,,0,4%,4.76,,
9788420554594,LULU Y LA CIGÜEÑA DESPISTADA,,,0,4%,4.76,,
9788420554693,EL HADA LOLITA Y EL OSO GRUÑON,,,0,4%,4.76,,
9788420554709,EL HADA LOLITA HACE DE PROFESORA,,,0,4%,4.76,,
9788420554716,EL HADA LOLITA Y LAS HISTORIAS DE AMOR,,,0,4%,4.76,,
9788420554723,EL HADA LOLITA Y LA NARIZ DEL KOALA,,,0,4%,4.76,,
9788420554730,EL HADA LOLITA Y LA CASA DE LA FELICIDAD,,,0,4%,4.76,,
9788420554747,EL LIBRO DE LOS SECRETOS DEL HADA LOLITA,,,0,4%,4.76,,
9788420555669,UN DIA LLUVIOSO,,,0,4%,6.73,,
9788420555676,LA MAGIA DE LA NAVIDAD,,,0,4%,6.73,,
9788420556581,"MIRA, MIRA CUERPO",,,0,4%,2.84,,
9788420556598,"MIRA, MIRA DINOSAURIO",,,0,4%,2.84,,
9788420556604,HOY COCINAMOS NOSOTROS,,,0,4%,6.73,,
9788420556833,MAMA Y YO ,,,0,4%,6.73,,
9788420556840,¿ME PERDONAS?,,,0,4%,6.73,,
9788420557038,COCINA: CHOCOLATE A GOGO,,,0,4%,6.73,,
9788420557045,COCINA: ZUMOS Y BATIDOS A GOGO,,,0,4%,6.73,,
9788420557731,EL HADA LOLITA Y LA APRENDIZ DE BRUJA,,,0,4%,4.76,,
9788423682065,APRENDE ABECEDARIO CON EL RATON SABIO,,,0,4%,5.77,,
9788423698356,TOUPIE Y BINOU-ABRACADABRA,,,0,4%,2.40,,
9788423698370,TOUPIE Y BINOU- HALLOWEEN,,,0,4%,2.40,,
9788423698431,TOUPIE Y BINOU- NO TENGO SUEÑO,,,0,4%,2.40,,
9788424111199,MI PRIMER LIBRO DE ARTE,,,0,4%,4.76,,
9788424116897,MI PRIMER LIBRO DEL CUERPO HUMANO,,,0,4%,4.76,,
9788424128470,HOY COCINO YO,,,0,4%,5.72,,
9788424179212,MI PRIMER LIBRO DE CIENCIAS ,,,0,4%,4.76,,
9788424182816,NUMEROS,,,0,4%,2.84,,
9788424182823,LETRAS MAYUSCULAS,,,0,4%,2.84,,
9788424182830,LETRAS MINUSCULAS,,,0,4%,2.84,,
9788424182847,COLORES Y FORMAS,,,0,4%,2.84,,
9788424182854,EDUCACION VIAL,,,0,4%,2.84,,
9788424182861,BUENOS MODALES,,,0,4%,2.84,,
9788424187460,MI PRIMER LIBRO DE LAS ESTACIONES,,,0,4%,4.76,,
9788424188092,EL PLACER DE COCINAR,,,0,4%,5.77,,
9788425348150,ESTUCHE EL LIBRO DEL BEBE,,,0,4%,4.92,,
9788427865846,DE VIAJE CON EL TREN,,,0,4%,3.80,,
9788427865907,DE VIAJE CON PATITA,,,0,4%,3.80,,
9788427865914,DE VIATGE AMB L´ANEGUETA,,,0,4%,3.80,,
9788427865938,DE CARRERAS CON EL CAMIÓN,,,0,4%,3.80,,
9788427867239,CASUAL OUTFIT - BARBIE CUADERNO DE DISEÑO,,,0,4%,2.84,,
9788427867246,MAQUILLAJE CON BARBIE,,,0,4%,2.84,,
9788427867253,NIGHT OUTFIT,,,0,4%,2.84,,
